NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Folic_Acid_(mg),Vit_B12_(mg)
9022,"APRICOTS,CND,H2O PK,SKN,SOL&LIQUIDS",92.36,27.0,0.71,0.16,0.38,6.39,1.6,4.79,8.0,0.32,7.0,13.0,192.0,3.0,0.11,0.082,0.053,0.1,3.4,0.021,0.023,0.395,0.054,0.0,0.0
9024,"APRICOTS,CND,JUC PK,SKN,SOL&LIQUIDS",86.62,48.0,0.63,0.04,0.37,12.34,1.6,10.74,12.0,0.3,10.0,20.0,165.0,4.0,0.11,0.054,0.052,0.1,4.9,0.018,0.019,0.344,0.054,0.0,0.0
9026,"APRICOTS,CND,LT SYRUP PK,SKN,SOL&LIQUIDS",82.56,63.0,0.53,0.05,0.37,16.49,1.6,14.89,11.0,0.39,8.0,13.0,138.0,4.0,0.11,0.079,0.052,0.1,2.7,0.016,0.02,0.304,0.054,0.0,0.0
9027,"APRICOTS,CND,HVY SYRUP PK,SKN,SOL&LIQUIDS",77.56,83.0,0.53,0.08,0.37,21.47,1.6,19.87,9.0,0.3,7.0,12.0,140.0,4.0,0.11,0.078,0.051,0.1,3.1,0.02,0.022,0.376,0.054,0.0,0.0
9032,"APRICOTS,DRIED,SULFURED,UNCKD",30.89,241.0,3.39,0.51,2.57,62.64,7.3,53.44,55.0,2.66,32.0,71.0,1162.0,10.0,0.39,0.343,0.235,2.2,1.0,0.015,0.074,2.589,0.143,0.0,0.0
9033,"APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR",75.56,85.0,1.2,0.18,0.91,22.15,2.6,19.57,19.0,0.94,11.0,25.0,411.0,4.0,0.14,0.121,0.083,0.8,0.3,0.005,0.026,0.915,0.051,0.0,0.0
9036,"APRICOT NECTAR,CND,WO/ VIT C",84.87,56.0,0.37,0.09,0.29,14.39,0.6,13.79,7.0,0.38,5.0,9.0,114.0,3.0,0.09,0.073,0.032,0.0,0.6,0.009,0.014,0.26,0.022,0.0,0.0
9037,"AVOCADOS,RAW,ALL COMM VAR",73.23,160.0,2.0,14.66,1.58,8.53,6.7,0.66,12.0,0.55,29.0,52.0,485.0,7.0,0.64,0.19,0.142,0.4,10.0,0.067,0.13,1.738,0.257,0.0,0.0
9038,"AVOCADOS,RAW,CALIFORNIA",72.33,167.0,1.96,15.41,1.66,8.64,6.8,0.3,13.0,0.61,29.0,54.0,507.0,8.0,0.68,0.17,0.149,0.4,8.8,0.075,0.143,1.912,0.287,0.0,0.0
9040,"BANANAS,RAW",74.91,89.0,1.09,0.33,0.82,22.84,2.6,12.23,5.0,0.26,27.0,22.0,358.0,1.0,0.15,0.078,0.27,1.0,8.7,0.031,0.073,0.665,0.367,0.0,0.0
9041,"BANANAS,DEHYD,OR BANANA PDR",3.0,346.0,3.89,1.81,3.02,88.28,9.9,47.3,22.0,1.15,108.0,74.0,1491.0,3.0,0.61,0.391,0.574,3.9,7.0,0.18,0.24,2.8,0.44,0.0,0.0
9042,"BLACKBERRIES,RAW",88.15,43.0,1.39,0.49,0.37,9.61,5.3,4.88,29.0,0.62,20.0,22.0,162.0,1.0,0.53,0.165,0.646,0.4,21.0,0.02,0.026,0.646,0.03,0.0,0.0
9046,"BLACKBERRIES,CND,HVY SYRUP,SOL&LIQUIDS",75.06,92.0,1.31,0.14,0.39,23.1,3.4,19.7,21.0,0.65,17.0,14.0,99.0,3.0,0.18,0.133,0.697,0.3,2.8,0.027,0.039,0.287,0.036,0.0,0.0
9048,"BLACKBERRIES,FRZ,UNSWTND",82.21,64.0,1.18,0.43,0.51,15.67,5.0,10.67,29.0,0.8,22.0,30.0,140.0,1.0,0.25,0.12,1.223,0.4,3.1,0.029,0.046,1.207,0.061,0.0,0.0
9050,"BLUEBERRIES,RAW",84.21,57.0,0.74,0.33,0.24,14.49,2.4,9.96,6.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.336,0.1,9.7,0.037,0.041,0.418,0.052,0.0,0.0
9052,"BLUEBERRIES,CND,HVY SYRUP,SOL&LIQUIDS",76.78,88.0,0.65,0.33,0.17,22.06,1.6,20.46,5.0,0.33,4.0,10.0,40.0,3.0,0.07,0.053,0.203,0.1,1.1,0.034,0.053,0.113,0.036,0.0,0.0
9054,"BLUEBERRIES,FRZ,UNSWTND",86.59,51.0,0.42,0.64,0.18,12.17,2.7,8.45,8.0,0.18,5.0,11.0,54.0,1.0,0.07,0.033,0.147,0.1,2.5,0.032,0.037,0.52,0.059,0.0,0.0
9055,"BLUEBERRIES,FRZ,SWTND",77.4,85.0,0.4,0.13,0.12,21.95,2.2,19.72,6.0,0.39,2.0,7.0,60.0,1.0,0.06,0.039,0.262,0.2,1.0,0.02,0.052,0.253,0.059,0.0,0.0
9057,"BOYSENBERRIES,FRZ,UNSWTND",85.9,50.0,1.1,0.26,0.54,12.19,5.3,6.89,27.0,0.85,16.0,27.0,139.0,1.0,0.22,0.08,0.547,0.2,3.1,0.053,0.037,0.767,0.056,0.0,0.0
9059,"BREADFRUIT,RAW",70.65,103.0,1.07,0.23,0.93,27.12,4.9,11.0,17.0,0.54,25.0,30.0,490.0,2.0,0.12,0.084,0.06,0.6,29.0,0.11,0.03,0.9,0.1,0.0,0.0
9060,"CARAMBOLA,(STARFRUIT),RAW",91.38,31.0,1.04,0.33,0.52,6.73,2.8,3.98,3.0,0.08,10.0,12.0,133.0,2.0,0.12,0.137,0.037,0.6,34.4,0.014,0.016,0.367,0.017,0.0,0.0
9063,"CHERRIES,SOUR,RED,RAW",86.13,50.0,1.0,0.3,0.4,12.18,1.6,8.49,16.0,0.32,9.0,15.0,173.0,3.0,0.1,0.104,0.112,0.0,10.0,0.03,0.04,0.4,0.044,0.0,0.0
9064,"CHERRIES,SOUR,RED,CND,H2O PK,SOL&LIQUIDS (INCL USDA CMDTY)",89.93,36.0,0.77,0.1,0.26,8.94,1.1,7.6,11.0,1.37,6.0,10.0,98.0,7.0,0.07,0.07,0.076,0.0,2.1,0.017,0.041,0.177,0.044,0.0,0.0
9066,"CHERRIES,SOUR,RED,CND,HVY SYRUP PK,SOL&LIQUIDS",75.66,91.0,0.73,0.1,0.25,23.27,1.1,22.17,10.0,1.3,6.0,10.0,93.0,7.0,0.06,0.066,0.072,0.0,2.0,0.016,0.039,0.168,0.044,0.0,0.0
9068,"CHERRIES,SOUR,RED,FRZ,UNSWTND",87.2,46.0,0.92,0.44,0.42,11.02,1.6,9.02,13.0,0.53,9.0,16.0,124.0,1.0,0.1,0.09,0.057,0.0,1.7,0.044,0.034,0.137,0.067,0.0,0.0
9070,"CHERRIES,SWEET,RAW",82.25,63.0,1.06,0.2,0.48,16.01,2.1,12.82,13.0,0.36,11.0,21.0,222.0,0.0,0.07,0.06,0.07,0.0,7.0,0.027,0.033,0.154,0.049,0.0,0.0
9071,"CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS",87.05,46.0,0.77,0.13,0.29,11.76,1.5,10.26,11.0,0.36,9.0,15.0,131.0,1.0,0.08,0.075,0.062,0.0,2.2,0.022,0.041,0.41,0.03,0.0,0.0
9072,"CHERRIES,SWT,CND,JUC PK,SOL&LIQUIDS",84.95,54.0,0.91,0.02,0.31,13.81,1.5,12.31,14.0,0.58,12.0,22.0,131.0,3.0,0.1,0.073,0.061,0.0,2.5,0.018,0.024,0.406,0.03,0.0,0.0
9073,"CHERRIES,SWT,CND,LT SYRUP PK,SOL&LIQUIDS",81.56,67.0,0.61,0.15,0.38,17.29,1.5,15.79,9.0,0.36,9.0,18.0,148.0,3.0,0.1,0.145,0.06,0.0,3.7,0.021,0.041,0.403,0.03,0.0,0.0
9074,"CHERRIES,SWT,CND,PITTED,HVY SYRUP PK,SOL & LIQUIDS",77.61,83.0,0.6,0.15,0.38,21.27,1.4,16.18,9.0,0.35,9.0,18.0,145.0,3.0,0.1,0.142,0.048,0.0,3.6,0.021,0.04,0.396,0.022,0.0,0.0
9076,"CHERRIES,SWT,FRZ,SWTND",75.53,89.0,1.15,0.13,0.83,22.36,2.1,20.26,12.0,0.35,10.0,16.0,199.0,1.0,0.04,0.024,0.109,0.0,1.0,0.027,0.047,0.177,0.036,0.0,0.0
9078,"CRANBERRIES,RAW",87.32,46.0,0.46,0.13,0.12,11.97,3.6,4.27,8.0,0.23,6.0,11.0,80.0,2.0,0.09,0.056,0.267,0.1,14.0,0.012,0.02,0.101,0.057,0.0,0.0
9079,"CRANBERRIES,DRIED,SWTND",15.79,308.0,0.17,1.09,0.15,82.8,5.3,72.56,9.0,0.39,4.0,8.0,49.0,5.0,0.1,0.063,0.18,0.6,0.2,0.013,0.028,0.548,0.038,0.0,0.0
9081,"CRANBERRY SAU,CND,SWTND",58.45,159.0,0.9,0.15,0.1,40.4,1.1,31.75,3.0,0.41,2.0,4.0,28.0,5.0,0.03,0.026,0.073,0.4,1.0,0.015,0.021,0.1,0.014,0.0,0.0
9084,"CURRANTS,RED&WHITE,RAW",83.95,56.0,1.4,0.2,0.66,13.8,4.3,7.37,33.0,1.0,13.0,44.0,275.0,1.0,0.23,0.107,0.186,0.6,41.0,0.04,0.05,0.1,0.07,0.0,0.0
9085,"CURRANTS,ZANTE,DRIED",19.21,283.0,4.08,0.27,2.36,74.08,6.8,67.28,86.0,3.26,41.0,125.0,892.0,8.0,0.66,0.468,0.469,0.7,4.7,0.16,0.142,1.615,0.296,0.0,0.0
9087,"DATES,DEGLET NOOR",20.53,282.0,2.45,0.39,1.6,75.03,8.0,63.35,39.0,1.02,43.0,62.0,656.0,2.0,0.29,0.206,0.262,3.0,0.4,0.052,0.066,1.274,0.165,0.0,0.0
9089,"FIGS,RAW",79.11,74.0,0.75,0.3,0.66,19.18,2.9,16.26,35.0,0.37,17.0,14.0,232.0,1.0,0.15,0.07,0.128,0.2,2.0,0.06,0.05,0.4,0.113,0.0,0.0
9090,"FIGS,CND,H2O PK,SOL&LIQUIDS",85.21,53.0,0.4,0.1,0.3,13.99,2.2,11.79,28.0,0.29,10.0,10.0,103.0,1.0,0.12,0.11,0.088,0.1,1.0,0.023,0.038,0.445,0.07,0.0,0.0
9091,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS",81.26,69.0,0.39,0.1,0.3,17.95,1.8,16.15,27.0,0.29,10.0,10.0,102.0,1.0,0.11,0.108,0.086,0.2,1.0,0.022,0.038,0.437,0.07,0.0,0.0
9092,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS",76.33,88.0,0.38,0.1,0.29,22.9,2.2,20.7,27.0,0.28,10.0,10.0,99.0,1.0,0.11,0.106,0.084,0.2,1.0,0.022,0.037,0.428,0.07,0.0,0.0
9094,"FIGS,DRIED,UNCOOKED",30.05,249.0,3.3,0.93,1.86,63.87,9.8,47.92,162.0,2.03,68.0,67.0,680.0,10.0,0.55,0.287,0.51,0.6,1.2,0.085,0.082,0.619,0.106,0.0,0.0
9095,"FIGS,DRIED,STEWED",69.8,107.0,1.42,0.4,0.8,27.57,4.2,23.35,70.0,0.88,29.0,29.0,294.0,4.0,0.24,0.124,0.22,0.2,4.4,0.011,0.11,0.64,0.133,0.0,0.0
9096,"FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS",90.76,32.0,0.42,0.05,0.26,8.51,1.0,7.51,5.0,0.25,7.0,11.0,94.0,4.0,0.09,0.071,0.15,0.5,2.1,0.016,0.011,0.363,0.052,0.0,0.0
9097,"FRUIT COCKTAIL,CND,JUC PK,SOL&LIQUIDS",87.44,46.0,0.46,0.01,0.23,11.86,1.0,10.86,8.0,0.21,7.0,14.0,95.0,4.0,0.09,0.062,0.146,0.5,2.7,0.012,0.016,0.403,0.051,0.0,0.0
9099,"FRUIT COCKTAIL,CND,LT SYRUP,SOL&LIQUIDS",84.37,57.0,0.4,0.07,0.23,14.93,1.0,13.93,6.0,0.29,5.0,11.0,89.0,6.0,0.09,0.07,0.147,0.5,1.9,0.018,0.019,0.38,0.051,0.0,0.0
9100,"FRUIT COCKTAIL,CND,HVY SYRUP,SOL&LIQUIDS",80.4,73.0,0.39,0.07,0.23,18.91,1.0,17.91,6.0,0.29,5.0,11.0,88.0,6.0,0.08,0.069,0.144,0.5,1.9,0.018,0.019,0.374,0.05,0.0,0.0
9105,"FRUIT SALAD,CND,HVY SYRUP,SOL&LIQUIDS",80.26,73.0,0.34,0.07,0.21,19.11,1.0,18.11,6.0,0.28,5.0,9.0,80.0,6.0,0.07,0.064,0.145,0.5,2.4,0.015,0.021,0.347,0.032,0.0,0.0
9111,"GRAPEFRUIT,RAW,PINK&RED&WHITE,ALL AREAS",90.89,32.0,0.63,0.1,0.31,8.08,1.1,6.98,12.0,0.09,8.0,8.0,139.0,0.0,0.07,0.047,0.012,0.3,34.4,0.036,0.02,0.25,0.042,0.0,0.0
9112,"GRAPEFRUIT,RAW,PINK&RED,ALL AREAS",88.06,42.0,0.77,0.14,0.36,10.66,1.6,6.89,22.0,0.08,9.0,18.0,135.0,0.0,0.07,0.032,0.022,0.1,31.2,0.043,0.031,0.204,0.053,0.0,0.0
9116,"GRAPEFRUIT,RAW,WHITE,ALL AREAS",90.48,33.0,0.69,0.1,0.33,8.41,1.1,7.31,12.0,0.06,9.0,8.0,148.0,0.0,0.07,0.05,0.013,1.4,33.3,0.037,0.02,0.269,0.043,0.0,0.0
9119,"GRAPEFRUIT,SECTIONS,CND,H2O PK,SOL&LIQUIDS",89.85,36.0,0.58,0.1,0.32,9.15,0.4,8.75,15.0,0.41,10.0,10.0,132.0,2.0,0.09,0.067,0.007,0.9,21.8,0.039,0.021,0.249,0.02,0.0,0.0
9120,"GRAPEFRUIT,SECTIONS,CND,JUC PK,SOL&LIQUIDS",89.67,37.0,0.7,0.09,0.34,9.21,0.4,8.8,15.0,0.21,11.0,12.0,169.0,7.0,0.08,0.037,0.007,0.9,33.9,0.029,0.018,0.249,0.02,0.0,0.0
9121,"GRAPEFRUIT,SECTIONS,CND,LT SYRUP PK,SOL&LIQUIDS",83.59,60.0,0.56,0.1,0.31,15.44,0.4,15.04,14.0,0.4,10.0,10.0,129.0,2.0,0.08,0.066,0.007,0.9,21.3,0.038,0.02,0.243,0.02,0.0,0.0
9123,"GRAPEFRUIT JUC,WHITE,CND OR BTLD,UNSWTND",91.2,34.0,0.58,0.1,0.19,7.93,0.8,7.2,14.0,0.11,8.0,15.0,129.0,3.0,0.08,0.031,0.015,0.1,28.3,0.042,0.02,0.231,0.02,0.0,0.0
9124,"GRAPEFRUIT JUC,WHITE,CND,SWTND",87.38,46.0,0.58,0.09,0.82,11.13,0.1,11.03,8.0,0.36,10.0,11.0,162.0,2.0,0.06,0.048,0.02,0.1,26.9,0.04,0.023,0.319,0.02,0.0,0.0
9125,"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,UNDIL",62.0,146.0,1.97,0.48,0.99,34.56,0.4,34.16,27.0,0.49,38.0,49.0,484.0,3.0,0.18,0.118,0.07,0.3,119.8,0.145,0.078,0.772,0.154,0.0,0.0
9126,"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,DIL  3 VOLUME H2O",89.3,41.0,0.55,0.13,0.28,9.73,0.1,9.63,8.0,0.14,11.0,14.0,136.0,1.0,0.05,0.033,0.02,0.1,33.7,0.041,0.022,0.217,0.044,0.0,0.0
9128,"GRAPEFRUIT JUC,WHITE,RAW",90.0,39.0,0.5,0.1,0.2,9.2,0.1,9.1,9.0,0.2,12.0,15.0,162.0,1.0,0.05,0.033,0.02,0.1,38.0,0.04,0.02,0.2,0.044,0.0,0.0
9130,"GRAPE JUC,CND OR BTLD,UNSWTND, ADDED VIT C",84.51,60.0,0.37,0.13,0.22,14.77,0.2,14.2,11.0,0.25,10.0,14.0,104.0,5.0,0.07,0.018,0.239,0.0,25.0,0.017,0.015,0.133,0.032,0.0,0.0
9131,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW",81.3,67.0,0.63,0.35,0.57,17.15,0.9,16.25,14.0,0.29,5.0,10.0,191.0,2.0,0.04,0.04,0.718,0.1,4.0,0.092,0.057,0.3,0.11,0.0,0.0
9132,"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW",80.54,69.0,0.72,0.16,0.48,18.1,0.9,15.48,10.0,0.36,7.0,20.0,191.0,2.0,0.07,0.127,0.071,0.1,3.2,0.069,0.07,0.188,0.086,0.0,0.0
9133,"GRAPES,CND,THOMPSON SEEDLESS,H2O PK,SOL&LIQUIDS",88.84,40.0,0.5,0.11,0.25,10.3,0.6,9.7,10.0,0.98,6.0,18.0,107.0,6.0,0.05,0.056,0.039,0.1,1.0,0.031,0.023,0.13,0.065,0.0,0.0
9134,"GRAPES,CND,THOMPSON SEEDLESS,HVY SYRUP PK,SOL&LIQUIDS",79.53,76.0,0.48,0.1,0.24,19.65,0.6,19.05,10.0,0.94,6.0,17.0,103.0,5.0,0.05,0.054,0.038,0.1,1.0,0.03,0.022,0.125,0.065,0.0,0.0
9135,"GRAPE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",84.51,60.0,0.37,0.13,0.22,14.77,0.2,14.2,11.0,0.25,10.0,14.0,104.0,5.0,0.07,0.018,0.239,0.0,0.1,0.017,0.015,0.133,0.032,0.0,0.0
9139,"GUAVAS,COMMON,RAW",80.8,68.0,2.55,0.95,1.39,14.32,5.4,8.92,18.0,0.26,22.0,40.0,417.0,2.0,0.23,0.23,0.15,0.6,228.3,0.067,0.04,1.084,0.11,0.0,0.0
9143,"GUAVA SAUCE,COOKED",89.56,36.0,0.32,0.14,0.5,9.48,3.6,5.88,7.0,0.18,7.0,11.0,225.0,4.0,0.17,0.077,0.108,0.5,146.4,0.026,0.013,0.42,0.09,0.0,0.0
9148,"KIWIFRUIT,GRN,RAW",83.07,61.0,1.14,0.52,0.61,14.66,3.0,8.99,34.0,0.31,17.0,34.0,312.0,3.0,0.14,0.13,0.098,0.2,92.7,0.027,0.025,0.341,0.063,0.0,0.0
9149,"KUMQUATS,RAW",80.85,71.0,1.88,0.86,0.52,15.9,6.5,9.36,62.0,0.86,20.0,19.0,186.0,10.0,0.17,0.095,0.135,0.0,43.9,0.037,0.09,0.429,0.036,0.0,0.0
9150,"LEMONS,RAW,WITHOUT PEEL",88.98,29.0,1.1,0.3,0.3,9.32,2.8,2.5,26.0,0.6,8.0,16.0,138.0,2.0,0.06,0.037,0.03,0.4,53.0,0.04,0.02,0.1,0.08,0.0,0.0
9152,"LEMON JUICE,RAW",92.31,22.0,0.35,0.24,0.21,6.9,0.3,2.52,6.0,0.08,6.0,8.0,103.0,1.0,0.05,0.016,0.012,0.1,38.7,0.024,0.015,0.091,0.046,0.0,0.0
9153,"LEMON JUC FROM CONC,CND OR BTLD",93.64,17.0,0.45,0.07,0.22,5.62,0.7,1.53,10.0,0.06,7.0,9.0,109.0,24.0,0.19,0.018,0.016,0.1,14.3,0.021,0.017,0.18,0.037,0.0,0.0
9154,"LEMON JUC,FRZ,UNSWTND,SINGLE STRENGTH",92.39,22.0,0.46,0.32,0.33,6.5,0.4,2.4,8.0,0.12,8.0,8.0,89.0,1.0,0.05,0.03,0.03,0.1,31.5,0.059,0.013,0.137,0.06,0.0,0.0
9159,"LIMES,RAW",88.26,30.0,0.7,0.2,0.3,10.54,2.8,1.69,33.0,0.6,6.0,18.0,102.0,2.0,0.11,0.065,0.008,0.4,29.1,0.03,0.02,0.2,0.043,0.0,0.0
9160,"LIME JUICE,RAW",90.79,25.0,0.42,0.07,0.31,8.42,0.4,1.69,14.0,0.09,8.0,14.0,117.0,2.0,0.08,0.027,0.018,0.1,30.0,0.025,0.015,0.142,0.038,0.0,0.0
9161,"LIME JUC,CND OR BTLD,UNSWTND",92.52,21.0,0.25,0.23,0.31,6.69,0.4,1.37,12.0,0.23,7.0,10.0,75.0,16.0,0.06,0.03,0.008,0.1,6.4,0.033,0.003,0.163,0.027,0.0,0.0
9164,"LITCHIS,RAW",81.76,66.0,0.83,0.44,0.44,16.53,1.3,15.23,5.0,0.31,10.0,31.0,171.0,1.0,0.07,0.148,0.055,0.6,71.5,0.011,0.065,0.603,0.1,0.0,0.0
9165,"LITCHIS,DRIED",22.3,277.0,3.8,1.2,2.0,70.7,4.6,66.1,33.0,1.7,42.0,181.0,1110.0,3.0,0.28,0.631,0.234,1.3,183.0,0.01,0.57,3.1,0.09,0.0,0.0
9167,"LOGANBERRIES,FROZEN",84.61,55.0,1.52,0.31,0.54,13.02,5.3,7.7,26.0,0.64,21.0,26.0,145.0,1.0,0.34,0.117,1.247,0.2,15.3,0.05,0.034,0.84,0.065,0.0,0.0
9176,"MANGOS,RAW",83.46,60.0,0.82,0.38,0.36,14.98,1.6,13.66,11.0,0.16,10.0,14.0,168.0,1.0,0.09,0.111,0.063,0.6,36.4,0.028,0.038,0.669,0.119,0.0,0.0
9178,"MANGO,DRIED,SWTND",16.6,319.0,2.45,1.18,1.19,78.58,2.4,66.27,0.0,0.23,20.0,50.0,279.0,162.0,0.3,0.3,10.0,2.1,42.3,0.062,0.085,2.0,0.334,0.0,0.0
9181,"MELONS,CANTALOUPE,RAW",90.15,34.0,0.84,0.19,0.65,8.16,0.9,7.86,9.0,0.21,12.0,15.0,267.0,16.0,0.18,0.041,0.041,0.4,36.7,0.041,0.019,0.734,0.072,0.0,0.0
9183,"MELONS,CASABA,RAW",91.85,28.0,1.11,0.1,0.36,6.58,0.9,5.69,11.0,0.34,11.0,5.0,182.0,9.0,0.07,0.06,0.035,0.4,21.8,0.015,0.031,0.232,0.163,0.0,0.0
9184,"MELONS,HONEYDEW,RAW",89.82,36.0,0.54,0.14,0.41,9.09,0.8,8.12,6.0,0.17,10.0,11.0,228.0,18.0,0.09,0.024,0.027,0.7,18.0,0.038,0.012,0.418,0.088,0.0,0.0
9191,"NECTARINES,RAW",87.59,44.0,1.06,0.32,0.48,10.55,1.7,7.89,6.0,0.28,9.0,26.0,201.0,0.0,0.17,0.086,0.054,0.0,5.4,0.034,0.027,1.125,0.025,0.0,0.0
9193,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)",79.99,115.0,0.84,10.68,2.23,6.26,3.2,0.0,88.0,3.3,4.0,3.0,8.0,735.0,0.22,0.251,0.02,0.9,0.9,0.003,0.0,0.037,0.009,0.0,0.0
9194,"OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)",84.34,81.0,0.97,6.87,2.22,5.61,2.5,0.0,94.0,3.32,4.0,3.0,9.0,735.0,0.22,0.226,0.02,0.9,1.5,0.003,0.0,0.022,0.012,0.0,0.0
9200,"ORANGES,RAW,ALL COMM VAR",86.75,47.0,0.94,0.12,0.44,11.75,2.4,9.35,40.0,0.1,10.0,14.0,181.0,0.0,0.07,0.045,0.025,0.5,53.2,0.087,0.04,0.282,0.06,0.0,0.0
9202,"ORANGES,RAW,NAVELS",85.97,49.0,0.91,0.15,0.43,12.54,2.2,8.5,43.0,0.13,11.0,23.0,166.0,1.0,0.08,0.039,0.029,0.0,59.1,0.068,0.051,0.425,0.079,0.0,0.0
9203,"ORANGES,RAW,FLORIDA",87.14,46.0,0.7,0.21,0.41,11.54,2.4,9.14,43.0,0.09,10.0,12.0,169.0,0.0,0.08,0.039,0.024,0.5,45.0,0.1,0.04,0.4,0.051,0.0,0.0
9206,"ORANGE JUICE,RAW",88.3,45.0,0.7,0.2,0.4,10.4,0.2,8.4,11.0,0.2,11.0,17.0,200.0,1.0,0.05,0.044,0.014,0.1,50.0,0.09,0.03,0.4,0.04,0.0,0.0
9207,"ORANGE JUC,CND,UNSWTND",87.72,47.0,0.68,0.15,0.43,11.01,0.3,8.76,10.0,0.1,10.0,17.0,184.0,4.0,0.04,0.022,0.021,0.1,30.1,0.039,0.021,0.201,0.031,0.0,0.0
9209,"ORANGE JUC,CHILLED,INCL FROM CONC",87.22,49.0,0.68,0.12,0.43,11.54,0.3,8.31,11.0,0.13,11.0,17.0,178.0,2.0,0.07,0.042,0.023,0.1,33.6,0.046,0.039,0.28,0.076,0.0,0.0
9210,"ORANGE JUC,CHILLED,INCL FROM CONC, ADDED CA & VITAMIN D",87.22,47.0,0.68,0.12,0.71,11.27,0.3,8.31,140.0,0.13,11.0,47.0,178.0,2.0,0.07,0.042,0.023,0.1,33.6,0.046,0.039,0.28,0.076,0.0,0.0
9211,"ORANGE JUC,CHILLED,INCL FROM CONC, ADDED CA",87.22,47.0,0.68,0.12,0.71,11.27,0.3,8.31,140.0,0.13,11.0,47.0,178.0,2.0,0.07,0.042,0.023,0.1,33.6,0.046,0.039,0.28,0.076,0.0,0.0
9213,"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL, ADDED CA",60.57,147.0,2.4,0.25,2.92,33.86,1.0,29.68,578.0,0.33,35.0,313.0,629.0,7.0,0.16,0.059,0.116,0.4,144.8,0.275,0.175,1.093,0.26,0.0,0.0
9214,"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL",60.57,148.0,2.4,0.25,1.6,35.19,1.0,29.68,38.0,0.33,35.0,61.0,629.0,7.0,0.16,0.059,0.116,0.4,144.8,0.275,0.175,1.093,0.26,0.0,0.0
9217,"ORANGE-GRAPEFRUIT JUC,CND OR BTLD,UNSWTND",88.64,43.0,0.6,0.1,0.39,10.28,0.1,10.18,8.0,0.46,10.0,14.0,158.0,3.0,0.07,0.076,0.017,0.1,29.1,0.056,0.03,0.336,0.023,0.0,0.0
9218,"TANGERINES,(MANDARIN ORANGES),RAW",85.17,53.0,0.81,0.31,0.38,13.34,1.8,10.58,37.0,0.15,12.0,20.0,166.0,2.0,0.07,0.042,0.039,0.1,26.7,0.058,0.036,0.376,0.078,0.0,0.0
9219,"TANGERINES,(MANDARIN ORANGES),CND,JUC PK",89.51,37.0,0.62,0.03,0.28,9.57,0.7,8.87,11.0,0.27,11.0,10.0,133.0,5.0,0.51,0.033,0.032,0.4,34.2,0.082,0.029,0.445,0.042,0.0,0.0
9220,"TANGERINES,(MANDARIN ORANGES),CND,LT SYRUP PK",83.06,61.0,0.45,0.1,0.19,16.19,0.7,15.49,7.0,0.37,8.0,10.0,78.0,6.0,0.24,0.044,0.032,0.4,19.8,0.053,0.044,0.445,0.042,0.0,0.0
9221,"TANGERINE JUICE,RAW",88.9,43.0,0.5,0.2,0.3,10.1,0.2,9.9,18.0,0.2,8.0,14.0,178.0,1.0,0.03,0.025,0.037,0.1,31.0,0.06,0.02,0.1,0.042,0.0,0.0
9223,"TANGERINE JUC,CND,SWTND",87.0,50.0,0.5,0.2,0.3,12.0,0.2,11.8,18.0,0.2,8.0,14.0,178.0,1.0,0.03,0.025,0.037,0.1,22.0,0.06,0.02,0.1,0.032,0.0,0.0
9226,"PAPAYAS,RAW",88.06,43.0,0.47,0.26,0.39,10.82,1.7,7.82,20.0,0.25,21.0,10.0,182.0,8.0,0.08,0.045,0.04,0.6,60.9,0.023,0.027,0.357,0.038,0.0,0.0
9229,"PAPAYA NECTAR,CANNED",85.02,57.0,0.17,0.15,0.15,14.51,0.6,13.91,10.0,0.34,3.0,0.0,31.0,5.0,0.15,0.013,0.013,0.3,3.0,0.006,0.004,0.15,0.009,0.0,0.0
9236,"PEACHES,YEL,RAW",88.87,39.0,0.91,0.25,0.43,9.54,1.5,8.39,6.0,0.25,9.0,20.0,190.0,0.0,0.17,0.068,0.061,0.1,6.6,0.024,0.031,0.806,0.025,0.0,0.0
